Contract Address,LoSC,Functions,CFG Percentage (Original),CFG Build Time (Original),CFG Percentage (Elysium),CFG Build Time (Elysium),Free Storage Location (Elysium),Free Storage Location (solc)
0xf20b338752976878754518183873602902360704,27,1,100.0,0.004208087921142578,100.0,0.0017898082733154297,1,1,True
0x0cb1d4a24292bb89862f599ac5b10f42b6de07e4,27,1,100.0,0.0034470558166503906,100.0,0.002064228057861328,1,1,True
0xb9cae3a1b5b204a83f34efdee17d0354d11d0d9c,27,1,100.0,0.0046308040618896484,100.0,0.0015375614166259766,1,1,True
0x32d16878415bb29a3dc11b426e77450eba6ad2a5,27,1,100.0,0.0031430721282958984,100.0,0.0012230873107910156,1,1,True
0x1f3621d2d57ee42d3e0cc0aa42156d0c3f7744a5,98,10,100.0,0.004954814910888672,100.0,0.004990816116333008,1,1,True
0x13000c4a215efe7e414bb329b2f11c39bcf92d78,264,0,83.4061135371179,0.24326205253601074,100.0,0.23578190803527832,13,13,True
0x8d15f64920dda38883b0bb44129c1f660392e167,27,1,100.0,0.004099130630493164,100.0,0.001486063003540039,1,1,True
0x2ad302574e58e263861c973618ba736d6b8fbc92,27,1,100.0,0.004433870315551758,100.0,0.001230001449584961,1,1,True
0x9a67f1940164d0318612b497e8e6038f902a00a4,27,1,100.0,0.0033349990844726562,100.0,0.0024449825286865234,1,1,True
0xf72f6fba7d55b00c25f2e5205e6bca9aaa470434,98,10,100.0,0.00444483757019043,100.0,0.0042302608489990234,1,1,True
0xbba4c8eb57df16c4cfabe4e9a3ab697a3e0c65d8,27,1,100.0,0.0026390552520751953,100.0,0.003695964813232422,1,1,True
0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,275,74,86.85714285714286,0.926973819732666,100.0,0.770143985748291,6,6,True
0x2e6907a0ce523ccb5532ffea2e411df1eee26607,27,1,100.0,0.0026612281799316406,100.0,0.0013241767883300781,1,1,True
0xda12b368a93007ef2446717765917933cebc6080,27,1,100.0,0.006610870361328125,100.0,0.002254962921142578,1,1,True
0x98f0eccac8be6ca81565007e5f879a217fb1e316,27,1,100.0,0.0037009716033935547,100.0,0.0019409656524658203,1,1,True
0xb8689b7910954bf73431f63482d7dd155537ea7e,27,1,100.0,0.0028657913208007812,100.0,0.0012471675872802734,1,1,True
0x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,27,1,100.0,0.0031380653381347656,100.0,0.001522064208984375,1,1,True
0x5c8344bcdc38f1ab5eb5c1d4a35ddeea522b5dfa,1338,285,37.794729542302356,161.7555708885193,33.287101248266296,27.698376893997192,18,18,True
