Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas used)","SmartShield (Success, Gas used)","Elysium (Success, Gas used)"
0x6e8369ba1511a7c57a202c0dd9592f43de9bab09d2c59ca165ca96d2a2a64189,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x9149c08e49ae60c7b4f82a9937fd17b172e459250612b4d3948fea4f95ec20c9,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd4b85a0e67a2a338b4ada9b592188f7dadbbe9c5fe6675c9e3051e8e8899741f,284287,"(True, 284334, None)","(True, 284287, None)","(True, 284287, None)"
0x82eb2f4c80ee51f56667edf561ba61d62ca2a4c88bd450f783493ec61009a05c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xd74610a3c424c6e380b3192a2ec0ade225a18874e63be875fee3d62e84d9ad50,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x460d1b7139c819087da69c6ef883be84a717de71c0fe878e2e52c1432d4e6fdd,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc5c75ea085c13d5b57dad78cdd7ecd3de04da9f7963c89bb435bce03ce54fdf7,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf6732daa275f5f9863a14d37ff7c9062f428b2c8a0367c666ee46b705b07fb3c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa07fc1fc6a658504bf70006b5b4a580be633c61ef5f2b4a6c1cc471cd61c1875,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x62451210cd51783072cf41fc4836d100ae1a7226da513f08e5b257dcd1721bc0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc3115e67d4418dc55f740c12bfb0de1be2d96726a07e6086953d42183980f16a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xff8a69bd30ab0d1366bbf03550df6d050f6f1b581bd5c714373582adeaac4a14,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x9b9f44ee51c549295fdf7ad57b0d9e976e5addaab114245e20732fca7db4b28d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd62a2404432b57a5672b1aae1863a75e3d7231724963b52701296cd959f0b35d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xe1cf17dcf8f67e3589ea7bc10e04a7c451a476d2c541b1b76144c1e76562fd80,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5b446cde9fe93ba3bd0be929755e204b689ed1263a09376e144ebaff0278c80d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc23e8c16d5ba40ec0d5b5fc21032be3ef6bb74862a39c893228f9e56d9068a7c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf7961d2dc2ef1af079adc345364b64d5ec8ad50b72133bf29ebde8dd8a21fbdb,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7592c253d8c4b6c52997783e9571a1991add6701bec9a484021451dcc91c5389,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x6deb4109d2a668a18af22132fd8b7362bcaa06a90b8f6b9cddc1830327af1f8f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc8f23a6f1ae4e702e3f1f0753367a3487e0315d49dc0d589db8800fbac18b01a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x18d4cdfea213f5b6bfd29be5c1d23a26303d645a5fe8959d1106cf0c4c2a21ed,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4e6cc421ed4d0251b3cb503e57b3a632d08fa382b92260b11dd3d7eb82af55d1,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x33e45821583696c87174282df26dbfd67284a3b043a634aa9ca87e514f787678,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xdcbedc5b65f828de152215126c46bbd1417dd00dbf660c1c97c4fa762796165d,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x017db91f05ef613741e2b4656268bfa67b2c37456bb7edf1576b4dcd06c03cf6,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x35ff20aba0b24935fe7f205064a5c48c11eda37b5cef1ae1762a67ff4d38035b,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd9674f3f1d0456158cd028d525a7cd3f175a8c154e7261f4b8c31ead81bcb05c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x20bf17e09a2b166dc0b910005b494631204d305cb2a76f6df65221cbf0e3fc10,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xe323fbac340c9793bf0e62cb9456564397594915a40652c5a674cd9cb7a946ce,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x96413c15c33109799332cd66f4141511fceb40a53bf2e296b9fd087a545cd06d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1aee5dc7f3d81ab2b02bc04798054c6df2d261a5dee2b5f0ad0880c8048629f8,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xfe2b08f379732c19d6efd093a27851f945e6fbb5791b26257f31e3d688f4fd6e,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x0138a43711a6a98db88fdbe5d5bb3b47640f36e041b32ba4168d88f8ce126749,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x15af17a863c686b0720aec56ba3ab886da2479a39774b64b5fe19b21bd77a645,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x22511dcd426c021bc614549a1249571401a8395b44fb13693c548748ef7a9dc6,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa879dd712bc07e56e33642a83593a158680dde85441f91976c4b284d72b41e79,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x140d97a1984caa81c26bc52a43a5f20fc9dd0c27b732fd9ab8795a986a1c9be0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x15d47a48b595e3de6d12801ea566c9cfb6a9ae9eaa835cf9f78bfa4010ff1c4e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x890a79a87837f4a1173b381d4b4066eab8597c789cde22bc8a2a327dce12080c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4cb230353c1662801f1c42fe458d2ed2abd16c010a4e42cecad13d7c006d1865,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x129e22179b9581efb634b9bd6ece784ca095b0efcdae827ac8339ea1a0265798,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd711a3798715163975a584863531fb0ed419d1267cbcd061d0343b9162adc1e2,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2f713846801d2b2ecf6f10b04a75ade965f29392264e3acb4baa1b6afab43ecd,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x4775f7f677ee4bbaf3d9a64d9c417e6ea31fb00b247e4a2d33d3f28f835e23c1,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x46b79ee71f7e8123487e47623adf181c68d58a0d533a2491e884603598302156,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x135d5317208991568d56ff59425ccc57a793f0e341bb328f1479db91e197d75c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x6cbdb831be175ec74449e38719965db5172b988339f02800a60ddc4c18b24d58,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x364e13c24a54b60cb1e666cbe1943e248c57168586efae7ec8dd6a99c1573a29,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x22e419950cd202c26cc9f4333113f7e20febaf1f509292322ac649d8a72c436b,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x7a38d72442d386afe389e1fdc690c5d0374a499db120744eaf7ab90b71217790,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb6baaa1d3c3286a072a035b047d3eaa9f6ede7ed5ccd838d6375ebe58f0694b7,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xe6d754e9df95b04b1f7d63163dc5b1ff830219cf6bda4c82ee4470f1060d22d3,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x82257fd684ebff490c764821e0cbc7e75c9a10ab1b14b4e000973de0db2064ce,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4f6c64631a7891c4a7d33fa2aad1ead4c1a73bfed63e32741cf27322c539a23d,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x420b897d5f78b958c4ddff4eb864d5926276ae689e81df4a673e6b69849fa3a9,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1e23981aa07e952e9e8657ee32815037b376a57a48824cd1e014e40a840d4e3a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x322a5cbf7b89e9503a59accab12a9eb37004217b55607e34732fa393a680759d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5a4ab1d195f8885696cc968537811bb029921c6bac581714cc82b701770e53d2,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4fecc7b196d284754aa1863e65abd65ba429dd6bd71eb6d19140413057a2abbd,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xcd11d4385d1494667b6097fe7c12882d269620cf6dd8865c7d58ed7c20e9a854,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x69fb34df81b7b8545cf8574496f841720e2d1374abdff4b8008d68628fd8010f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x677b4c9ddc8ec2f8070f9748e0e74fe9951701ce4a931341afdbd68359654dfa,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x31b8ec3c7e5df462a11c697d2f94af5960b3216a596fd29d6e04b4137cb1f5a3,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xb5bd50be0f4f19eb96498bd91ca225ac11f48fbe7e0d7d3923891072b2597545,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xfb0406abcccd06d2b9a1c4964cf6c8d6daf84ade46d290d43da0087151e9e28b,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x880f2fc4bf53aae845b9fcb791f3c61f62c4ccb10b31e503b44e98355154d95c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc1f6f4e8bedc3435a3ce9d08fddeff97b9fb70c3763d954dffc5fda61186fb6a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5a948ec5a6d0606598966d645fa04fc9baedf695a61fe9b3b78a18c10053c1e3,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x18de2c899c59ab2a5ab675de4a5f712da7a708729fd04d59cdd58ff46bf1d587,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x03e711c39dabe5309529e8d41b15d1ad8e3c776c5c03e66fa249ecc160ef95b7,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2d26894f26f22fb63d91ecc1df786edd13101edb0f220eec34bafe848c8a2481,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x58b41051e972341478893ae183469e97a9e9090d3acc960770d82eba952cf74c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x810d036ebdbf1138bf0f83bf0f48a0045b35182c0a0a2d66144f85ecc8cb3089,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x064917cbe0dea3e052dc5ec463f051fe7e769c13c78df3367440ccff8b1bf7ff,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xdedfa6496efd722c02112f2262553118a2be638866b6ba67dd282f6c022c52f0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf2587af78bd858ff313b0f2ea039804b44952144930f4cedee3a49bbcc69bb40,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x0ba5afcc550000ff45c6a0c8e398e4d40efa497067021039fbdb4b5d0cc3b4ed,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa4852b5a22631162297a63216269efa625d65b1c15a88f5b3a5bd648e4e80809,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd592e47a6955b118efbdf7c1609f0c784fdf51a95c8464b6e7e97f549cf5ca2b,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x16db858466f27f6afa9bc010202fca7a7b6e2d5ee9a9eba552b4928210ad61c6,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc19640e74312c9f896f776d49f7233b5ba8ecc4272f79cfcd60d699cfec148e2,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xef6fd78b60044d96c2dd39a46eb7e1c01db4858eba6bf6e1fe96a7f68865121e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7a0a394a72682939b55a4cf71618df8f6763ffb341c4a9e3e0a66a68b12a2b69,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xcb1da814d735c4c419ea23e3a661e0fc3a34678be02cd2f4ce0152eb561fa9b0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x0661830240f96362d1284826ff0f6792271767f47a97261dacc8180ef93b2508,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x25949a77d8a8d6791b45738d368f7f503aa1829152c9fcc20cb038b1e36bd985,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x9bece4369aeb9a8ee6f4956244dc7b904b5a00f7cc65e1ea6313a80dbf1fe9fd,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x77acfafc8c1c9d7709efc720cd4163c85e2c62b38bc66bb725a6998e63df30b4,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x20355717790fd616d3648f918e5dd755841e09a5375e1bccf525aed9082d318e,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xe168d26fea405b8537b388966140e2ace9befe51190b9bb389759d43a57caa78,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf0ec12d59e9105ff425c28befe6bef50dbfe8e011c9c1b21af6f455cb2cd0918,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5fecb6e2ded4dee0705af5f9fb9bb5d9ac2d210f2fcab14f0fbdbb36770a8d38,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x531beee5fc7e05101e8b4bafddb11e6e80bcc43f9e675e44e70e2d1807ff9186,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x07a13f057139c8561f0f2e9c0d4c2c54d690966b7584660e054e4416bcf6cc74,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x3098d89797efadeb13297560874621d3535dafae826a7b7f4a3e97d410610c54,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x34a98af17a95b11b577886cb377b0101dd6d7676c72f64f1177433cf097109e1,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xaab3a5a5eda2c452aa473b3613616f2aeb8061b005442f07f3c4cb5aab7a0db1,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x85d92b256e41e9df1eb5dd08d3f0f500b00a3d90cc81bc8a7d6767cec7b17a7b,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x02ec45f7012d4fac60f1a89e72f099cee5e3ad9820fb8bd87d5e07e0ccdbc932,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2b943968eb9102b0f7c3412320a546775f15f18018fe5ac76c6af2baea84a6e6,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x9a804a0b1023aaf75c69dff7a9c40ec1e07fe4fbe0519cee52e7ba210516dd29,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xedffb60ddf298c9567040d9752ebef6829da44e5ad83bdc2a5745c8e41184a9f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb1881b815b3def91430ca301c24e84f62f14643009b21c3eef9c952b03a034e4,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xc07b579d90ef904cc1ae7a626dfad246d82c86596912ea3c0c694f39810352e9,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc867320cb84aa6ec8bbfc93dade39ba57d2ec41c2f8487e98fef6a8d60a4bc87,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa0f9c96b75ff0cd7ba798377a2f4f9f123506d46b259b5907eb6bf57a3b10540,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x97c858c74abe1f5447a1588c517c4129e5d04ed8ebb9ff6bc8921a0d42f15c9f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf44fdb9a639f6ea9cbeb27573919f6a9191030071843010ac0e0f7d11bedb010,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5520475ddba44969e6fd56a52341709b37d1fd43bd140c30a5a700c93d84d451,269287,"(True, 269334, None)","(True, 269287, None)","(True, 269287, None)"
0x9028fe206c0b15fcf97ea78867aedef85388b0aab84f142d466e16e7720e3877,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd61c7775f188288d6a6bf427f3c459fff40414346935e019c2b34874fd8fc8b1,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xd6fd2cfd41aaf5bc5ddfbf4ee81a0d1747871872d21aefdf6338afdb5474e62e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x54daafcbb70e6a9cf65a9677b240b06e0e3db02b82c1b4b00e7b053fe245e91d,359287,"(True, 359334, None)","(True, 359287, None)","(True, 359287, None)"
0x540f961a520be5f3ec83d7924af1b956aa8fb2af8b78b64447c079be8bc54863,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7d121e789cfbd08f1a35274f8299675eb7f623ea20a0fc9e032f851e92053b47,284287,"(True, 284334, None)","(True, 284287, None)","(True, 284287, None)"
0x7835b41bc424728581ca9d8a886042190b3bd5f20cbba82911fca81bc4b6444c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x93780254d56191c2f0e4cc879e9fed934236fd58cc1631628fabb58997ef8b6f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1d12263d49ff5d3f3a26fb4ed02daf5e95bccf7780d4aa42a55fcc1c1ed0f9a8,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc06066c20029bd36184bf3b854af11974b0574a1149a4ba36f3c982fd3802187,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
