Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas Used, Error)","SmartShield (Success, Gas Used, Error)","Elysium (Success, Gas Used, Error)"
0x48fa0f3b948f6c3df268ea288772c8e325f95ebcb666e48ce71829ef6a0b36aa,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xa57698eb0c1d0728a1ecf1df79660dac94c15cebaf49d7eada59d6c5efff75c3,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc34d597ddada54c6af5df1fd1d6298b66d775f2d2e87200becfbf983b3b24e71,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbf95fd8cbee7a410ee4b275b4a3176cb69e1595866d6f4e99145864a52feb180,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x6f283fc31678e8cde60da208a8b2ce980357fe607fcd2a183f3d2c70bcfb1bc9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbd14b3aaafc4343d245daace10fde0e8833fce6ef559c00b143aca75bb10e271,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x7f495a4617d3b560b11e64d0c007143ef1168fea424e8f75b91681a88e1f43af,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xb5535e49430756f8ffc4cac976ad8decfa7e8eebd8695064e8640ee2323ac1c7,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x203ce76b50a6a93fef77c727c7f8c968e7ea72193c380af73041ee3e60dfff13,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8dba3fa422dfb0f20fb37add1b913ab7093b2e7becc8ce7af2d681ebcade83c9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2a9c86b504e4cc5d4a503cac0027176e7600c15dac75f33260abdc18beb9474f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1dbd1fd9be515688d0437f1091910c108b723be01a5c688266746f37efc610d0,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8eb517c75dc8b4e747cf6b5b3587b52048e93cc4b32dc6d4fab7936bfbf09f99,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x83bd0cdda6c615639c3650907862cbfdbbe944718beb4c77e3dabb30e0e41e7e,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x1ab64c7a5ff1d3ba233aae6cc9086c1e04dec7c1175b7c231da997ccd1c0ed0a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x833c7a159bd84203890e54cd1dcecdad203dc565983bce905704111c61974fed,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xca960bcc767965c149e71c9a4e09533596d3d93b218778d57c2879e498b224d9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xd1a8b32c3d59e7da1c94646ee2197dbab223339abb8d35715f005da69d6721b4,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x3add4bafbc92103715c1a9575624cad4ba1f8a40f051febe0ff625fc0fcf683b,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xc7adb76232f91f4e74aedc78e2b53a2366750fdef2afa4a89b5104864e8b490f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xdd1e7e42304e9e646dd566d1311e296ef6ee105cfb8d64a18653b3522481546c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x17b124b4d56c6276036dec87f421da6e3a92fba3484a55c213cc9cb2c97773c2,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2e571f80e2215f3138b4c32389ef8f907c125285a0ef0fc73aa782199aeca5a2,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8896e41a297ad6afa0bb0565997cf4fa38631cefc883e38f346e85db6f3a9b1a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbd4cf2793240ab560814b14ded836263d4a88c47d13b651804313636503d6986,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x0ac0b1845d78bf3db074d1819f84ec635e2a675d55a39f154f1b91826dc27aa4,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x91f18c28e68b13b0d788148cf1d486a8e1537fcaa8f9302e66910acbcc89358e,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xd68eb0d0d83f17b9cbc923b74ad851cd04bbb1bab956cfdf57830caaa646a28c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xbfcc7fd7457179509ded98d3eaba7ef481ae9f543f1e3ed62fffc20cb087abb3,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xfd00b44db166b9498cc8e7772f68e11a85c0e3241046fd4338f3707052453d75,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x052f46a4a58648289b475f358d3fe0eb3e867cc05895f5a96138f66168c528cd,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe1b2cf4df8ba1b48fc7638656dee22ae84792d4955fac9eed0bab072cbb6509c,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
