Contract Address,Transaction Hash,Original Gas Used,"SmartShield (Success, Gas Used, Error Message)","Elysium (Success, Gas Used, Error Message)"
0xeecaa19b38c635de7a45e2e264b02853bb9a6d10,0x4b78ec65023b5abce97cfe04ec16b9ce9dcbd1a28607f3c2008ea15a6b082cfc,1498,"(True, 1498, None)","(True, 1498, None)"
0x4938c291ab7e5e51198dfc210824da5d1bd759bf,0xc9429d119a0a15fc5d09e4cc4724623f2135f290711d367b2528e14a889febfa,1498,"(True, 1498, None)","(True, 1498, None)"
0xba3dfb3e317e5e73b6ef7f6093fea825cc632c6a,0xfdcc30c415e6c8ae00ce50a16b2d8cc6b43c90619ccf6030fe6546b4a8d1faeb,1498,"(True, 1498, None)","(True, 1498, None)"
0xed1475eee0c969d4877bd05ffdd6bfdc84b821da,0xe71dc74e564ec3a95be1a3f7cae0d84d87e198c65a0f4cc5a5b54713250bb7bf,1498,"(True, 1498, None)","(True, 1498, None)"
0xc7d3ac5ccaa44f3f0652613ab79adca97090e780,0x63c5b6e666e8cf30c2708bca99d74b9bf23e8e6195dca2602b1a0ecf639432de,1498,"(True, 1498, None)","(True, 1498, None)"
0xf3f1d3a7a681349e859b6559270541f6ee2b465c,0x3f1163bf97594e198671ed96f3aa013e6643b972cf971de7d3f8ba4260d42e78,1498,"(True, 1498, None)","(True, 1498, None)"
0xb32db51ba30c80a21a775635c1b6d6a01754fd06,0x27b7fed979e54af5ebc3c505833208d25b8c9d110116c2c71bd71e3c613fd9db,1498,"(True, 1498, None)","(True, 1498, None)"
0x779cdcb772d2afd7a74418637382d40b4a4330fb,0x1782dc698e00a30ad214094851a44dd707a6f1894a336ce60188dd5d8e273860,1498,"(True, 1498, None)","(True, 1498, None)"
0xd0f706bf4738732145344dc407d36b88859c3349,0x1b841bf601ed8d7d55eeba918b030d3e2bbbe32068e48e1c252c5b2765344419,1498,"(True, 1498, None)","(True, 1498, None)"
0x4c630c0882b58c1ac59ea3edbabcdb803e34291c,0x01b2e62f8f8fc862b01bb72a1c14f900a87f9e9588fdec8fae5c290481675171,1498,"(True, 1498, None)","(True, 1498, None)"
0x4c7e21914b6a1c7183455134e24023e88ee90cd1,0x17facd11bd45fe2684439bc4c15af9430ff09e57efebda95737a8ef2d1e1aed8,1498,"(True, 1498, None)","(True, 1498, None)"
0x5ed38634c678a8d5a95234b4b7b2ca07e5bb80a0,0x02dcc52f5b6f11b3205c541f4694c678c1236450a773ec83dc627c008589b764,1498,"(True, 1498, None)","(True, 1498, None)"
0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a,0xd2d3ad8a8b2e375a7260ce21a83d360818132bdc92d045d966d8ea53116b5a00,1498,"(True, 1498, None)","(True, 1498, None)"
0xe37f73f567c142d84393b5e34d13300f2ec64b1f,0xc81733cd1b15b10a1b84db77f3a092102b764011c95051afed75fa99472684a0,1498,"(True, 1498, None)","(True, 1498, None)"
0x48122a114156c314cd49438b08d59ac64138a8f3,0xda2cea28a94b3b1c4ef06780a86832a512f98559c29574b185213b2301514c56,1498,"(True, 1498, None)","(True, 1498, None)"
0x76b51d3d4337b09757a412db0c57182329481a48,0x604989d3b3b043af87341d57fa40a2b8d970f515bd41a1de58364876b216f96c,1498,"(True, 1498, None)","(True, 1498, None)"
0xdf86984226814e2970ea94fedd9676276fedfacb,0x34b1c665ace924ccbe824dd4d912606f55a73d10b783aaa040f13eabd04a747b,1498,"(True, 1498, None)","(True, 1498, None)"
0x7ebcdaab21a47bc4a7bd29898ec42a2fe166f740,0xfc34bf0b2b58f92f27eee1404e8846a759453951631156798acdba16d7499e87,1498,"(True, 1498, None)","(True, 1498, None)"
0x37c4362e7c11eac6d90775746bb9bc9810116a6e,0x49af0763b438146f6f0ee103a473663001face8238277656085a31aa9c6ec9c2,1498,"(True, 1498, None)","(True, 1498, None)"
0xde027cf0de25ab09a1b7612cab455f29a8478dc9,0x13bd19b7832c0d3b506f591e2a66c4038d2c6bf976cce527a1c25dd233168be7,1498,"(True, 1498, None)","(True, 1498, None)"
0x39a5c0807a6ca01b639ee617ce5a616910c35539,0x68449e005599f78d7713b161c442ce5eb1819fe76b60009885aeb598e4413ce8,1498,"(True, 1498, None)","(True, 1498, None)"
0x5149e60db1df662b639bcd4832fe60e03d681211,0x3accefa4b0bb905abdba117572635e33e0fb78170989c8b1a656c2b43e99fc95,1498,"(True, 1498, None)","(True, 1498, None)"
0x956ff844abd8f58add1160c62810ad34befc8bbd,0x8c4b93c655d7340728a9e1580b7e2be7f16bd251da193c4d5de827a9232fac7a,1498,"(True, 1498, None)","(True, 1498, None)"
0xccfa829f12bd1b7618702ace114a0e464f311f6e,0x7055b8b129a30f6ac5a5bb3651d739828a3d200fc9ce5d5085de567555f83c86,1498,"(True, 1498, None)","(True, 1498, None)"
0x3c91bc1dcc872bede647dac18ac5ee4c861f2c15,0x96796842382b1c7282cba15659b1c75e13ded3b8aac7388a1da2df6ce9604943,1498,"(True, 1498, None)","(True, 1498, None)"
0xa316a531a66c8f708f593554736618dc497b4716,0x06078a9f8a61576804b622c081ddc2dd730c845ec14bacaee9ef64833d2947e0,1498,"(True, 1498, None)","(True, 1498, None)"
0x7d8d62adaa4e4a3bcb50464b7d414f5ed07ce940,0xeb6f7bf24c611db97dd9ef2dc0978e9eff4a2dd011140d1c5998347567090b38,1498,"(True, 1498, None)","(True, 1498, None)"
0x69ad38baa72a277cb83d1eccc6279552e0f25dc0,0xa206731516eaee5a2163aebb8a26f55533172f5e3e80826e59078bcd9e0c07d6,1498,"(True, 1498, None)","(True, 1498, None)"
0x80c1b7dedbc495be0de1304c2eda7f55e385453a,0xe6d04ab2d8ff27872a9366aee7f89840c8cf4abfaa50e806ff7ff6dd2485f9cd,1498,"(True, 1498, None)","(True, 1498, None)"
0x496d9b487b78090d9ba0b15950da35bc213dd4bc,0x8a87c5483a294c262b71330b835fad164c55d38a508aa5c869f7f1725186524b,1498,"(True, 1498, None)","(True, 1498, None)"
0x73f1cd5face85917543c1c4b3dd8e88ccfa4965a,0x97c93df4403521d0f11ed40149e984f5c6c9be6f74b7a01623405aae67bc0ad7,1498,"(True, 1498, None)","(True, 1498, None)"
0xb7aa741108ae27e02401fef2101114e5b8bb0ad9,0xd66cb8ae9dae658812f32439e6e746a3669924cca0caba20550ffc86da494416,1498,"(True, 1498, None)","(True, 1498, None)"
0x20b014a0b669906781250cdcf9966d5c4ce1527a,0x07acfe21555db6eb2dd0dc1aa487cdf231a3dbfeddcdb03616801f69e5f2fed6,1498,"(True, 1498, None)","(True, 1498, None)"
0x049671341b35f43c703829ce1cc6c91e68816a05,0xf04cddb1505e4defb58b7cafe70977984ddac5183e38a98c5f7d4a76b47ba86f,1498,"(True, 1498, None)","(True, 1498, None)"
0x9fc9e6fe3567cfe89cf8de12ac051955b8865308,0x6ff358b6ff36cc21d71bf0fcd7f29a58db26fe3844dfd06cb715485bd741885a,1498,"(True, 1498, None)","(True, 1498, None)"
0xded679f2fd307e1c8bf8a5b20e3d4178369bb996,0x042bbe97e1a2b4a2faf9041aa05e04da99325328a92f764d639f2b64776a6278,1498,"(True, 1498, None)","(True, 1498, None)"
0x8ee1dfed72c8c401da3525033d471420a1da466b,0xbbcf877b070e3d0428770587f040b33a3b537e6f82b6017c77164f7455fcbc4b,1498,"(True, 1498, None)","(True, 1498, None)"
0x73f879679b0fd8b25196834fe3e7a9615ea1b608,0x719b449fb07526f924876ee45b762507627e656b9d1124598051bca289b6098c,1498,"(True, 1498, None)","(True, 1498, None)"
0xab88b9bc99476dd4d7d8a1d8381066519359f243,0x1f117cdf130c30431e275e46f7dbc0884b2d7f7f1d96f34833a050306867a736,1498,"(True, 1498, None)","(True, 1498, None)"
0x8d0edc2c55ba4337335e686b88bf40faaafb9797,0xdd6b096e8996c58aa294d3cb753b2c87e1aece73860d57489384d88b23fcd169,1498,"(True, 1498, None)","(True, 1498, None)"
0xc965c6ef32ccc278181cbc68573fa0a5f1997b17,0x5d9d54d93d52bae367f7aa6179bd04fec8ca7a425ceac666c85dc4a370391039,1498,"(True, 1498, None)","(True, 1498, None)"
0x87d3f07ae86953b1ae559f8870696168c4e20ab1,0x4b69b0c199f18b4092a24f8aecc3121ed343696bf9ef0ffb7a572e35c6f853c1,1498,"(True, 1498, None)","(True, 1498, None)"
0xc0968d7e104a06357c69e04e260a483b30c29a05,0x813e313921e4cd7746b79180ef02191be2e5051b68148461f9831ffa71276b05,1498,"(True, 1498, None)","(True, 1498, None)"
0xd7e7de032e4682cb150e8fe8c8dcbdc99b4c1fff,0xc85faccb7fc656bb25a949927809873540b2fbcbc60365a7d0aa1b4455146266,1498,"(True, 1498, None)","(True, 1498, None)"
0x3b3a9c76ba9a4801ace8e2a8ff8b0e99f66bc5bf,0xf3383691d50aca40a992abb7ec6eb637af89bf9718df7285a3cbed34ac0a90c3,1498,"(True, 1498, None)","(True, 1498, None)"
0xc7a13c9ceba109499c2c00af977591b55a03e6af,0x9bfa660af37c2be39d81fd7ebcf273c144b8726f5d90b855d5362b0ddcbc45dc,1498,"(True, 1498, None)","(True, 1498, None)"
0x01e5be25eb25a0b4ffb73d34a0b5b72b49dafa7a,0x8d415ca9493771f00517716375473c8e7ab72cfa6b618b448312894b8ead86cd,1498,"(True, 1498, None)","(True, 1498, None)"
